Team1,Team2,Score1,Score2,RF_Predicted_Outcome,NN_Predicted_Outcome
86,7,0,0,0,0
86,10,0,0,0,0
86,25,0,0,0,0
86,31,0,0,0,0
86,34,0,0,0,0
86,61,0,0,0,0
89,2,0,0,0,0
89,11,0,0,0,0
89,46,0,0,0,0
90,18,0,0,0,0
90,46,0,0,0,0
90,58,0,0,0,0
92,24,0,0,0,0
92,35,0,0,0,0
92,43,0,0,0,0
94,8,0,0,0,0
94,10,0,0,0,0
94,25,0,0,0,0
94,61,0,0,0,0
97,19,0,0,0,0
97,40,0,0,0,0
97,47,0,0,0,0
97,73,0,0,0,0
98,20,0,0,0,0
98,26,0,0,0,0
98,33,0,0,0,0
98,64,0,0,0,0
98,66,0,0,0,0
100,26,0,0,0,0
100,33,0,0,0,0
100,66,0,0,0,0
101,64,0,0,0,0
101,66,0,0,0,0
102,35,0,0,0,0
102,43,0,0,0,0
104,72,0,0,0,0
105,42,0,0,0,0
105,71,0,0,0,0
105,83,0,0,0,0
107,47,0,0,0,0
107,65,0,0,0,0
107,73,0,0,0,0
108,53,0,0,0,0
108,59,0,0,0,0
109,71,0,0,0,0
109,81,0,0,0,0
109,83,0,0,0,0
110,71,0,0,0,0
110,81,0,0,0,0
110,83,0,0,0,0
112,65,0,0,0,0
116,73,0,0,0,0
123,85,0,0,0,0
90,11,1,11,0,0
109,44,1,2,0,0
105,44,1,6,0,0
98,22,1,9,0,0
105,81,1,9,0,0
111,58,14,4,1,1
89,18,2,2,0,0
112,73,2,6,0,0
90,21,2,9,0,0
89,58,3,2,1,0
97,65,3,3,0,0
94,34,3,5,0,0
119,84,4,11,0,0
100,64,4,2,1,1
122,79,4,2,1,0
120,81,4,3,1,0
89,21,4,4,0,0
86,8,4,5,0,0
94,31,4,5,0,0
101,33,4,6,0,0
120,83,5,0,1,1
104,62,6,5,1,0
92,28,8,2,1,1
111,66,0,1,0,0
102,38,0,12,0,0
101,44,0,6,0,0
104,53,0,6,0,0
97,47,0,9,0,0
106,66,1,1,0,0
106,46,1,10,0,0
95,41,1,11,0,0
86,0,1,2,0,0
90,71,1,2,0,0
100,50,1,3,0,0
86,44,1,4,0,0
115,66,1,4,0,0
94,74,1,5,0,0
101,47,1,6,0,0
98,47,1,7,0,0
105,74,1,7,0,0
89,5,10,0,1,1
102,50,10,0,1,1
92,19,10,3,1,1
101,76,10,4,1,1
107,61,10,4,1,1
108,53,10,5,1,1
102,46,11,0,1,1
100,28,12,0,1,1
102,66,12,0,1,1
112,56,12,1,1,1
100,46,12,2,1,1
102,63,19,0,1,1
109,51,2,0,1,0
111,50,2,0,1,0
92,75,2,1,1,0
92,49,2,2,0,0
94,10,2,2,0,0
98,73,2,2,0,0
97,76,2,3,0,0
89,83,2,4,0,0
95,27,2,4,0,0
100,63,2,4,0,0
111,63,2,4,0,0
105,40,2,6,0,0
112,76,2,6,0,0
98,26,3,1,1,0
114,85,3,10,0,0
86,8,3,2,1,0
86,10,3,2,1,0
100,38,3,2,1,0
105,44,3,2,1,0
86,7,3,3,0,0
89,2,3,3,0,0
89,71,3,3,0,0
94,44,3,3,0,0
97,48,3,3,0,0
107,45,3,3,0,0
101,73,3,4,0,0
90,5,3,5,0,0
97,17,3,5,0,0
107,85,3,5,0,0
100,50,3,7,0,0
101,48,3,7,0,0
86,36,3,8,0,0
89,35,4,2,1,1
95,53,4,2,1,1
97,26,4,2,1,1
106,50,4,3,1,1
95,14,4,4,0,0
104,41,4,4,0,0
110,74,4,5,0,0
92,16,5,0,1,1
94,8,5,1,1,1
94,36,5,3,1,1
95,32,5,3,1,1
101,56,5,4,1,1
106,63,5,6,0,0
89,58,6,0,1,1
100,66,6,0,1,1
112,73,6,0,1,1
90,58,6,2,1,1
97,73,6,2,1,1
90,35,6,3,1,1
106,58,6,3,1,1
98,48,6,5,1,1
121,76,7,1,1,1
86,74,7,3,1,1
98,56,7,4,1,1
98,76,7,5,1,1
120,83,7,5,1,1
100,44,8,2,1,1
90,83,8,3,1,1
112,48,8,6,0,1
92,18,9,1,1,1
97,56,9,4,1,1
102,46,0,10,0,0
103,46,0,20,0,0
96,30,0,6,0,0
100,44,0,6,0,0
102,71,0,7,0,0
95,60,1,0,1,0
108,74,1,2,0,0
118,82,1,2,0,0
115,83,1,3,0,0
125,85,1,3,0,0
108,74,1,4,0,0
110,50,1,4,0,0
115,85,1,4,0,0
86,42,1,5,0,0
98,57,1,5,0,0
89,10,1,9,0,0
103,71,10,0,1,1
101,47,10,1,1,1
89,27,10,4,1,1
107,54,10,5,1,1
89,26,12,2,1,1
96,28,13,2,1,1
101,27,16,4,1,1
102,38,17,0,1,1
102,79,18,0,1,1
98,73,2,1,1,0
97,33,2,11,0,0
89,48,2,17,0,0
90,4,2,2,0,0
92,35,2,2,0,0
106,71,2,2,0,0
108,73,2,2,0,0
92,85,2,3,0,0
97,17,2,3,0,0
86,3,2,4,0,0
95,68,2,4,0,0
92,83,2,5,0,0
92,63,2,6,0,0
94,8,2,6,0,0
104,37,2,6,0,0
121,74,2,6,0,0
90,63,2,7,0,0
95,82,2,7,0,0
86,8,2,9,0,0
90,5,2,9,0,0
94,42,2,9,0,0
103,38,24,1,1,1
103,79,25,0,1,1
86,7,3,1,1,1
108,57,3,1,1,0
89,56,3,12,0,0
112,48,3,12,0,0
90,85,3,2,1,0
108,74,3,2,1,0
105,42,3,3,0,0
109,76,3,4,0,0
96,46,3,5,0,0
101,56,3,5,0,0
111,63,3,5,0,0
105,76,3,7,0,0
106,79,3,7,0,0
92,5,3,8,0,0
112,56,3,8,0,0
96,79,4,1,1,1
102,30,4,1,1,1
111,71,4,1,1,1
98,74,4,2,1,1
98,33,4,3,1,0
110,58,4,4,0,0
94,76,4,9,0,0
97,73,5,2,1,1
98,41,5,2,1,1
111,79,5,2,1,1
101,48,5,3,1,1
104,39,5,3,1,1
95,29,5,4,1,1
97,66,5,4,1,0
97,74,5,4,1,0
106,46,5,5,0,0
94,36,5,6,0,0
114,63,5,8,0,0
107,45,6,0,1,1
111,63,6,0,1,1
122,78,6,0,1,1
89,47,6,1,1,1
98,66,6,1,1,1
108,66,6,1,1,1
94,31,6,2,1,1
96,71,6,2,1,1
90,35,6,3,1,1
100,50,6,3,1,1
101,61,6,8,0,0
120,79,7,0,1,1
86,31,7,2,1,1
86,36,7,2,1,1
90,83,7,2,1,1
100,58,7,2,1,1
110,53,7,5,1,1
112,61,7,8,0,0
86,76,8,0,1,1
89,61,8,10,0,0
96,38,9,1,1,1
97,41,9,1,1,1
97,57,9,4,1,1
100,53,9,6,1,1
104,57,0,10,0,0
91,72,0,15,0,0
109,71,0,2,0,0
96,28,0,20,0,0
103,80,0,23,0,0
102,30,0,3,0,0
102,80,0,30,0,0
97,17,0,4,0,0
111,56,0,5,0,0
93,57,0,6,0,0
111,79,0,7,0,0
92,67,0,8,0,0
94,68,0,8,0,0
90,46,1,1,0,0
117,80,1,12,0,0
92,80,1,2,0,0
117,71,1,2,0,0
92,30,1,24,0,0
96,71,1,3,0,0
86,50,1,5,0,0
94,10,1,5,0,0
112,50,1,5,0,0
115,75,1,5,0,0
89,13,1,6,0,0
98,22,1,6,0,0
101,57,1,6,0,0
104,52,1,7,0,0
124,80,1,8,0,0
91,77,10,1,1,1
96,56,10,1,1,1
113,57,10,1,1,1
88,10,10,2,1,1
91,72,10,3,1,1
92,28,11,1,1,1
100,52,11,2,1,1
105,83,11,8,1,1
103,71,13,1,1,1
103,67,13,2,1,1
87,57,14,5,1,1
87,22,18,1,1,1
88,38,2,1,1,0
91,55,2,1,1,0
98,40,2,1,1,0
103,42,2,17,0,0
86,17,2,2,0,0
94,76,2,2,0,0
96,67,2,2,0,0
96,80,2,2,0,0
108,45,2,2,0,0
97,47,2,3,0,0
112,73,2,3,0,0
86,73,2,5,0,0
92,12,2,5,0,0
95,29,2,6,0,0
94,83,2,7,0,0
110,53,2,7,0,0
108,60,2,8,0,0
90,56,2,9,0,0
102,42,20,0,1,1
96,30,3,15,0,0
86,50,3,2,1,0
97,40,3,2,1,0
107,74,3,2,1,0
94,68,3,3,0,0
98,73,3,3,0,0
105,82,3,3,0,0
109,80,3,3,0,0
88,13,3,4,0,0
88,76,3,4,0,0
106,76,3,4,0,0
118,76,3,4,0,0
93,32,3,5,0,0
97,73,3,5,0,0
97,74,3,5,0,0
92,42,3,6,0,0
94,13,3,6,0,0
98,50,3,6,0,0
88,1,3,7,0,0
97,57,3,7,0,0
110,58,3,7,0,0
89,38,4,1,1,1
89,68,4,1,1,1
106,68,4,1,1,1
95,37,4,2,1,1
107,73,4,2,1,0
89,10,4,3,1,0
95,55,4,3,1,0
95,77,4,3,1,0
119,75,4,3,1,0
92,71,4,4,0,0
105,76,4,6,0,0
89,76,4,7,0,0
115,69,4,8,0,0
120,80,4,8,0,0
86,33,5,1,1,1
90,19,5,1,1,1
90,39,5,1,1,1
90,48,5,1,1,1
93,22,5,1,1,1
86,47,5,2,1,1
101,33,5,2,1,1
86,15,5,3,1,1
104,33,5,3,1,1
89,7,5,4,1,1
99,35,5,4,1,1
100,68,5,4,1,0
121,74,5,4,1,0
87,32,5,5,0,0
87,52,5,5,0,0
112,74,5,5,0,0
93,26,5,6,0,0
98,47,5,6,0,0
87,33,5,7,0,0
110,61,5,7,0,0
97,26,6,0,1,1
100,26,6,0,1,1
101,32,6,0,1,1
88,68,6,1,1,1
91,37,6,10,0,0
86,40,6,2,1,1
91,23,6,2,1,1
93,50,6,2,1,1
88,7,6,3,1,1
100,50,6,3,1,1
100,57,6,4,1,1
109,67,6,4,1,1
87,6,6,5,1,1
99,38,6,5,1,1
91,29,6,6,0,0
102,67,7,0,1,1
91,9,7,2,1,1
93,52,7,2,1,1
95,23,7,3,1,1
97,50,7,3,1,1
98,74,7,4,1,1
100,32,7,5,1,1
100,76,7,6,1,1
107,50,8,1,1,1
115,70,8,1,1,1
86,74,8,2,1,1
94,38,8,2,1,1
114,72,8,2,1,1
90,79,8,3,1,1
93,33,8,3,1,1
100,33,8,4,1,1
99,36,8,5,1,1
107,47,8,5,1,1
101,52,9,1,1,1
102,71,9,1,1,1
111,48,9,1,1,1
87,26,9,2,1,1
96,42,9,2,1,1
110,72,9,3,1,1
99,31,9,4,1,1
99,82,9,4,1,1
99,83,9,5,1,1
